,column0,task,column2,app,meta_rating,review,app_name
11,113,UE,None,1,3,"Not liking update! The game is fun for anyone, however the update no longer lets you listen to music (iTunes).  I used to play on long flights and enjoyed the ability to listen to my tunes but, I no longer play on planes or that often.  :(",Angrybirds
12,114,RT,None,1,5,Angry birds addict This is the best game EVER!,Angrybirds
13,115,RT,None,1,1,REALLY??? Stop making games and make one game at a time better because this is just sad now,Angrybirds
14,121,FR,None,1,4,Cool game! The game is really fun but I wish that you could earn coins to buy power ups instead of using real money. (From my 9 year old :),Angrybirds
15,121,RT,None,1,4,Cool game! The game is really fun but I wish that you could earn coins to buy power ups instead of using real money. (From my 9 year old :),Angrybirds
16,126,UE,None,1,1,Pop ups galore Chill with the doo doo,Angrybirds
17,139,RT,None,1,5,Awsome Im just rating to get a golden egg,Angrybirds
18,144,UE,None,1,4,about time a good update I'm happy the old music is back and this wasn't an update for the stupid red mighty feathers. But I have to rate it 4 stars because you made the menu worse looking.,Angrybirds
19,144,UE,None,1,4,about time a good update I'm happy the old music is back and this wasn't an update for the stupid red mighty feathers. But I have to rate it 4 stars because you made the menu worse looking.,Angrybirds
20,151,RT,None,1,5,Great So much fun,Angrybirds
21,154,UE,None,1,5,Angry birds I love the new levels they are very challenging . You should make more levels . I love angry birds.And you should sign with sponge bob squarepants for an app .And you should youse Billy Joel music for your background sound.,Angrybirds
22,154,RT,None,1,5,Angry birds I love the new levels they are very challenging . You should make more levels . I love angry birds.And you should sign with sponge bob squarepants for an app .And you should youse Billy Joel music for your background sound.,Angrybirds
23,175,PD,None,1,3,Okay Hard to load sometimes glitches,Angrybirds
24,193,UE,None,1,2,"Like the game, want control over videos I like the game and there always seem to be more levels than I have time to master. This game is heavily marketed to kids - fine by me, my kid loves the blankets and bath towels and t-shirts - but they've added videos to the app you can't turn off anywhere in the settings. I don't want my kid idly watching cartoons, I don't mind playing games. Give us the ability to turn off cartoons some way other than putting the iPod into airplane mode! He has learning apps that need the network, which makes this app a pain for me.",Angrybirds
25,193,FR,None,1,2,"Like the game, want control over videos I like the game and there always seem to be more levels than I have time to master. This game is heavily marketed to kids - fine by me, my kid loves the blankets and bath towels and t-shirts - but they've added videos to the app you can't turn off anywhere in the settings. I don't want my kid idly watching cartoons, I don't mind playing games. Give us the ability to turn off cartoons some way other than putting the iPod into airplane mode! He has learning apps that need the network, which makes this app a pain for me.",Angrybirds
26,210,RT,None,1,5,Great! Rovio should make a angry birds hobbit    :),Angrybirds
27,220,UE,None,1,5,Slow But Great !!!!! Bombing fun !!!,Angrybirds
28,220,RT,None,1,5,Slow But Great !!!!! Bombing fun !!!,Angrybirds
29,228,RT,None,1,5,thats great i play it since i bought the first iphone and i still play it now thanks the staff,Angrybirds
30,244,UE,None,1,5,Forever Fun So many fun levels! So many different birds!,Angrybirds
31,244,RT,None,1,5,Forever Fun So many fun levels! So many different birds!,Angrybirds
32,248,RT,None,1,5,Fav This is my favorite game,Angrybirds
33,294,RT,None,1,5,Great game This is a very good game,Angrybirds
34,302,RT,None,1,5,Good game Good game going get them pigs,Angrybirds
35,311,RT,None,1,5,Angry Bird Fan I can't get enough of this game!!!  Love it!!!,Angrybirds
36,312,RT,None,1,5,Great game!! I like the first few best.,Angrybirds
37,322,UE,None,1,1,"Angry Birds ABs has kept me captivated for a couple of yrs.. Over time, I have become quite skilled at it. The newest versions are not winnable without purchasing additional ""fighters."" Not a fair contest. I am highly disappointed to find that difficult levels are unachievable without purchasing additional "" power ups."" That simply defeats the purpose in trying to reach certain levels through skill.",Angrybirds
38,322,RT,None,1,1,"Angry Birds ABs has kept me captivated for a couple of yrs.. Over time, I have become quite skilled at it. The newest versions are not winnable without purchasing additional ""fighters."" Not a fair contest. I am highly disappointed to find that difficult levels are unachievable without purchasing additional "" power ups."" That simply defeats the purpose in trying to reach certain levels through skill.",Angrybirds
39,322,UE,None,1,1,"Angry Birds ABs has kept me captivated for a couple of yrs.. Over time, I have become quite skilled at it. The newest versions are not winnable without purchasing additional ""fighters."" Not a fair contest. I am highly disappointed to find that difficult levels are unachievable without purchasing additional "" power ups."" That simply defeats the purpose in trying to reach certain levels through skill.",Angrybirds
40,344,UE,None,1,2,"Annoyances aplenty I loved this game when I first bought it. It has gradually become a cash-grab operation plagued with ads (in a paid app? Come on) and pop-ups (buy some IAPs already you walking wallets, or better yet, sign up for something you don't have any reason to. No, you can't decline. You can close the window, but it will be back next level) I foolishly bought the giant eagle add-on (advertised as unlimited use) but now it requires a cool down time. How that isn't just straight-up false advertising makes no sense to me. Well, I'm sure they need the IAP income. They must all be starving after making an obscene amount of money from this game already.",Angrybirds
41,344,RT,None,1,2,"Annoyances aplenty I loved this game when I first bought it. It has gradually become a cash-grab operation plagued with ads (in a paid app? Come on) and pop-ups (buy some IAPs already you walking wallets, or better yet, sign up for something you don't have any reason to. No, you can't decline. You can close the window, but it will be back next level) I foolishly bought the giant eagle add-on (advertised as unlimited use) but now it requires a cool down time. How that isn't just straight-up false advertising makes no sense to me. Well, I'm sure they need the IAP income. They must all be starving after making an obscene amount of money from this game already.",Angrybirds
42,400,UE,None,1,1,"I paid to not have ads yet... the game has ads. Not cool. If there were no ads, I'd probably buy the Star Wars one but... nope.",Angrybirds
43,400,RT,None,1,1,"I paid to not have ads yet... the game has ads. Not cool. If there were no ads, I'd probably buy the Star Wars one but... nope.",Angrybirds
44,401,PD,None,1,3,Crashes Trying to play the new levels but it kicks me out please fix it!!!!,Angrybirds
45,402,FR,None,1,4,Angry Birds Lord Of The Rings? Nice game but has anyone thought of Angry Birds Lord Of The Rings? That would be cool if they did it right,Angrybirds
46,402,RT,None,1,4,Angry Birds Lord Of The Rings? Nice game but has anyone thought of Angry Birds Lord Of The Rings? That would be cool if they did it right,Angrybirds
47,407,UE,None,1,5,Levels Levels areBack!!!! Angry Birds Rock!!,Angrybirds
48,407,RT,None,1,5,Levels Levels areBack!!!! Angry Birds Rock!!,Angrybirds
49,423,UE,None,1,1,Carol Can't find the new levels!!!!,Angrybirds
50,427,PD,None,1,1,First review It crashes,Angrybirds
51,439,UE,None,1,5,Finnaly something new! I love the moving targets! And to all those people that plan to quit cuz they dont like these moving targets...just dont play those! Duh,Angrybirds
52,448,UE,None,1,1,Hate the new levels Bring back the original concept,Angrybirds
53,450,RT,None,1,4,Dave A fun game if you are looking to kill time.,Angrybirds
54,486,PD,None,1,1,"New Level Crashes on Loading On my iPod Touch 4, the app crashes whenever I try to open the new level. Old levels still seem to work OK.",Angrybirds
55,490,RT,None,1,5,Yeah Boooooooy Grest game for anytime.,Angrybirds
56,506,RT,None,1,1,"Awful Game is ruined and no longer fun to play. Oh well, good while it lasted",Angrybirds
57,509,UE,None,1,5,Awesome Even though I'm only on the 5th episode I can tell Red's Mighty Feather's is gonna be AWESOME!!!,Angrybirds
58,509,RT,None,1,5,Awesome Even though I'm only on the 5th episode I can tell Red's Mighty Feather's is gonna be AWESOME!!!,Angrybirds
59,514,FR,None,1,4,new game imagine a new game of angry birds when the pigs go zombies or in the after life heaven (angry birds) vs hell (pigs),Angrybirds
60,551,UE,None,1,5,"Awesome Game Angry birds started out as the best game you could get I always looked forward to updates but this new update is not as fun if you want to do another update do something like a snow theme, spring theme or fall theme without moving targets or the mighty eagle giving birds power ups I don't use power ups because I think that they ruined the game. So please take my advise Rovio.",Angrybirds
61,553,UE,None,1,1,Daily Rewards gone! No more daily power-ups.  And you don't get any unless you pay more than what you paid for the game.  New level is not as fun.  I'm disappointed to say the least...,Angrybirds
62,555,UE,None,1,1,Powerup???? HEY what happen to the daily powerup. That's the last time I will update. If course I could buy power ups. Isn't that a bit of bait and switch.,Angrybirds
63,564,UE,None,1,1,Why Piggies I bought Piggies.. I don't play it because it's annoying.. Now I wait weeks & months for a new Bird level and you throw in Piggies.. I dislike it immensely.. Give me my Birds back PLEASE..,Angrybirds
64,593,UE,None,1,1,"GAK! The new levels are awful! Poor controls, poor, frustrating game play. The only thing that resembles the old angry birds is the pigs and the birds. Time to delete.",Angrybirds
65,593,RT,None,1,1,"GAK! The new levels are awful! Poor controls, poor, frustrating game play. The only thing that resembles the old angry birds is the pigs and the birds. Time to delete.",Angrybirds
66,621,PD,None,1,2,Update crap The new update is crap. I cant play the new missions. Whenever I try to play them the game quits me out an it's so annoying,Angrybirds
67,656,PD,None,1,1,My game keeps crashing! My game crashes on the new levels but lets me play all the other ones,Angrybirds
68,141795,RT,None,1,5,Love it! Love it!,Angrybirds
69,688,RT,None,1,1,Stupid Yer game is retarted I fing hate the reds mighty feathers those pigs deserve the egg because they can come up with something better than a gay slingshot,Angrybirds
70,700,UE,None,1,1,"Dissatisfied I am a huge fan, obsessed if you will, with Angry Birds. I even have a tattoo. I HATED Bad Piggies, and am not happy with the current level of the original game. Keep the games separate!!",Angrybirds
71,700,RT,None,1,1,"Dissatisfied I am a huge fan, obsessed if you will, with Angry Birds. I even have a tattoo. I HATED Bad Piggies, and am not happy with the current level of the original game. Keep the games separate!!",Angrybirds
72,704,RT,None,1,5,"Come on, people! Quit whining about how much you don't like the update. It gives the game a different twist and I love it. If you keep whining, you'll get it taken off for the people who actually like it!",Angrybirds
73,708,UE,None,1,3,"Not that bad Ok, so maybe the new mini game isn't a very big success, but Rovio is doing this because they're trying to appeal to a wider audience. They figured, since the game bad piggies was such a hit, they would incorporate more piggie vehicles in a fun mini game. Yes, I know, the levels for it aren't the best, and its hard as a rock to beat the last level, but its just an attempt to try something new. I'm still giving angry birds 3 stars, since my little brother loves this game so much, but please do better next time.                                            - Lawgamer411",Angrybirds
74,731,UE,None,1,1,"Never liked AB when downloaded, but... AB, to me, was really boring. Too dull and too slow for me. Levels also got pretty ridiculous at the end. But this new game mode is even slower.",Angrybirds
75,731,RT,None,1,1,"Never liked AB when downloaded, but... AB, to me, was really boring. Too dull and too slow for me. Levels also got pretty ridiculous at the end. But this new game mode is even slower.",Angrybirds
76,734,UE,None,1,2,"Hate the new ""levels"" The newest release has 15 bad piggies levels which belong in bad piggies; not in angry birds. I had read reviews on how non-fun the BP game was, and these levels being forced upon the AB world seems to prove that notion. AB is not an action game, and the whole idea of racing against a clock is counter to what made the strategy of flinging birds so much fun. Two stars: five for the game in general; minus three for these levels.",Angrybirds
77,747,UE,None,1,1,"Actual enjoy the concept of the new level, but Big complaints about it. 1) bird doesn't seem to go where I click, but rather in the general direction of the pig...extremely annoying. 2) the extremely slow speed that the birds reload. 3) at the beginning of level the extremely slow speed that I'm given control (I'm swiping to get to the bird, but no response). If the first two are fixed, then I'd give it 4 stars.",Angrybirds
78,747,UE,None,1,1,"Actual enjoy the concept of the new level, but Big complaints about it. 1) bird doesn't seem to go where I click, but rather in the general direction of the pig...extremely annoying. 2) the extremely slow speed that the birds reload. 3) at the beginning of level the extremely slow speed that I'm given control (I'm swiping to get to the bird, but no response). If the first two are fixed, then I'd give it 4 stars.",Angrybirds
79,749,UE,None,1,2,"Broken Formula I can appreciate that the goal is to always evolve, but this model takes away from the addicting fun of trying to demolish an area of stuff containing pigs in hopes to get a few more points each time. Now if you get three stars, there's nothing to improve on. Plus I miss the instant gratification of restarting a level. Now I have to wait through a long starting sequence and long periods between pigs arriving. Very boring.",Angrybirds
80,749,UE,None,1,2,"Broken Formula I can appreciate that the goal is to always evolve, but this model takes away from the addicting fun of trying to demolish an area of stuff containing pigs in hopes to get a few more points each time. Now if you get three stars, there's nothing to improve on. Plus I miss the instant gratification of restarting a level. Now I have to wait through a long starting sequence and long periods between pigs arriving. Very boring.",Angrybirds
81,772,UE,None,1,1,Awful The new levels are really terrible. It's no fun to play and not the same game I enjoy.  What a terrible update.,Angrybirds
82,125430,RT,None,1,5,Good Thanks,Angrybirds
83,799,UE,None,1,1,Terrible new red feather update I try to go for something and it always points me away from the target I want to hit terrible update,Angrybirds
84,799,UE,None,1,1,Terrible new red feather update I try to go for something and it always points me away from the target I want to hit terrible update,Angrybirds
85,803,UE,None,1,2,"Not crazy about the new level! Sorry Rovio-------this new level just doesn't do it for me. Not to mention, you took the original music away! ??Really wish there was an option to keep the original tune or not!",Angrybirds
86,803,RT,None,1,2,"Not crazy about the new level! Sorry Rovio-------this new level just doesn't do it for me. Not to mention, you took the original music away! ??Really wish there was an option to keep the original tune or not!",Angrybirds
87,818,UE,None,1,1,Horrible New levels are horrible...totally different game than angry birds in my opinion. Developers dropped the ball on this update.,Angrybirds
88,818,RT,None,1,1,Horrible New levels are horrible...totally different game than angry birds in my opinion. Developers dropped the ball on this update.,Angrybirds
89,832,UE,None,1,1,"Horrific Update Rovio, why do you still try to make bad piggies happen ??? It was a really boring gameThis update is really stupid, completely unenjoyable and makes no sense. I think this is the end of Angry Birds for me. I hope you get back to your roots",Angrybirds
90,832,RT,None,1,1,"Horrific Update Rovio, why do you still try to make bad piggies happen ??? It was a really boring gameThis update is really stupid, completely unenjoyable and makes no sense. I think this is the end of Angry Birds for me. I hope you get back to your roots",Angrybirds
91,868,UE,None,1,2,Mixed feelings. I like the concept of the new levels! Moving targets are fun! BUT the controls and how to play the levels is not easy to catch on to- once I think I understand I still mess up. It's not very intuitive to the use. Doesn't mean the levels shouldn't be challenging but should be hard to execute!,Angrybirds
92,868,UE,None,1,2,Mixed feelings. I like the concept of the new levels! Moving targets are fun! BUT the controls and how to play the levels is not easy to catch on to- once I think I understand I still mess up. It's not very intuitive to the use. Doesn't mean the levels shouldn't be challenging but should be hard to execute!,Angrybirds
93,889,UE,None,1,1,Horrible New Levels This is NOT Angry Birds! Some horrible reenactment of an already horrible Bad Piggies!,Angrybirds
94,889,RT,None,1,1,Horrible New Levels This is NOT Angry Birds! Some horrible reenactment of an already horrible Bad Piggies!,Angrybirds
95,892,UE,None,1,1,Update Terrible new levels.,Angrybirds
96,897,PD,None,1,1,"Crash Every time I try to play a new level, the app crashes",Angrybirds
97,899,RT,None,1,1,"New Update Congratulations! You have succeeded in ruining the Angry Birds game. If this continues through the entire series, the popularity well decrease very rapidly. I hope you learn from your mistakes.",Angrybirds
98,909,UE,None,1,1,"Ruined the app I'm an AB fan/addict from the very beginning.  This new release with eggs, ""bad piggies"" vehicles and new 3 star philosophy has Ruined the app.  Hated the bad piggies app with all the building stuff and this is just as bad.  You've lost a fan ....  Also can't see the whole screen anymore,  what's the deal???   Lost me for sure as a fan and user.",Angrybirds
99,917,RT,None,1,5,Cool More levels to do,Angrybirds
100,927,PD,None,1,1,"Won't open levels Every time I try to open a level, it freezes and then sends me back to the home screen. Please fix!",Angrybirds
101,927,UE,None,1,1,"Won't open levels Every time I try to open a level, it freezes and then sends me back to the home screen. Please fix!",Angrybirds
102,930,RT,None,1,3,"Angry Birds! It's not the best, but it's great!",Angrybirds
103,945,RT,None,1,5,Birds Rule! This game is awesome and easy and there are so many settings! X-D,Angrybirds
104,957,RT,None,1,5,"Very fun I like this game a lot. But it would be better if you made angry birds 2!!!! If you released that, I would rate beyond 5!!!!!!!",Angrybirds
105,961,UE,None,1,3,New levels without the power ups! Needs new levels and the power ups are stupid!,Angrybirds
106,961,FR,None,1,3,New levels without the power ups! Needs new levels and the power ups are stupid!,Angrybirds
107,980,PD,None,1,1,crashes YOU MADE MY FAVORITE APP CRASH SO I CANT USE IT!!!!!!! i hate you,Angrybirds
108,988,RT,None,1,5,One of my favorite apps of all time Amazing app half the reason I got a iPod,Angrybirds
109,992,RT,None,1,5,Great fun Only thing that would make it better if the updates came faster.,Angrybirds
110,998,RT,None,1,5,The best of the best Keep it up Rovio!,Angrybirds
111,1013,RT,None,1,5,ANGRY BIRDS Great game,Angrybirds
112,1016,RT,None,1,5,Angry birds Awwwwwesome!!!!!!!!!!!,Angrybirds
113,1017,FR,None,1,5,"New bird Cool game! I'd like new bird to stop, go up and turn around and go to the right.",Angrybirds
114,1017,RT,None,1,5,"New bird Cool game! I'd like new bird to stop, go up and turn around and go to the right.",Angrybirds
115,1017,UE,None,1,5,"New bird Cool game! I'd like new bird to stop, go up and turn around and go to the right.",Angrybirds
116,1027,RT,None,1,5,GREAT IDEA!!!!!! Angry Birds is a great game and if they made a jurassic park one I would buy it right away!,Angrybirds
117,1048,RT,None,1,5,Awesome game ??????????,Angrybirds
118,1053,RT,None,1,5,Love it!!! Never have I met something that makes me so entertained and angry at the same time. Frustratingly addictive- in a good way.,Angrybirds
119,1067,UE,None,1,3,Upgrade is a downgrade I love playing angry birds. Only problem is icons on upper left of screen get in the way and hide the bird. New versions  add another icon making it difficult to see a high bird. I will avoid updating. This feature should be optional. It may be disabled but still shows gray icon. Better yet an option to hide all the icons would improve display a lot,Angrybirds
120,1075,PD,None,1,3,"Delay response I'm trying to play the new Bad Piggies levels and I'm getting a delay in loading and responding. I killed the pigs in level two and got the part where the birds were dancing but it wouldn't load the score or stars I got. Otherwise, it's a 5 star app!",Angrybirds
121,1075,UE,None,1,3,"Delay response I'm trying to play the new Bad Piggies levels and I'm getting a delay in loading and responding. I killed the pigs in level two and got the part where the birds were dancing but it wouldn't load the score or stars I got. Otherwise, it's a 5 star app!",Angrybirds
122,1078,PD,None,1,1,Crashes I really like angry birds but this app keeps on crashing every time I open it. I did not want to pay 99 cents for an app that keeps on crashing. Please make an update that will not crash the app. Thank You!,Angrybirds
123,1089,PD,None,1,1,Crashed I wasn't even able to load the first level before crashing. Brilliant.,Angrybirds
124,1099,RT,None,1,5,1000tj review Lolololol,Angrybirds
125,1107,UE,None,1,2,"Good, but not good enough I like the game but, it takes  a lot of space??",Angrybirds
126,1107,RT,None,1,2,"Good, but not good enough I like the game but, it takes  a lot of space??",Angrybirds
127,1119,UE,None,1,1,Hate Game Center I never have and never will use Game Center.  I hate how you have to wait for it to load up before you can play. Why change this now. It was never like this before. This game went from a 5 to a 1. I don't even want to play it and am close to telling people not to buy it.,Angrybirds
128,1148,RT,None,1,5,Excellent Legend app and It is free! Why you waiting for?? Take it fast,Angrybirds
129,1168,RT,None,1,2,Ok Fun when it first came out but it first came out,Angrybirds
130,1172,UE,None,1,5,"Wait. Angry Birds? Free? Wow, my eyes didn't deceive me, it really is free! Even though this is a good app for beginners to the franchise, almost everyone has bought it. I have even bought it for the .99 and is still the only app I have really bought (well without the aid of gift cards). I would say, good job Rovio! Keep up the good work!",Angrybirds
131,1172,RT,None,1,5,"Wait. Angry Birds? Free? Wow, my eyes didn't deceive me, it really is free! Even though this is a good app for beginners to the franchise, almost everyone has bought it. I have even bought it for the .99 and is still the only app I have really bought (well without the aid of gift cards). I would say, good job Rovio! Keep up the good work!",Angrybirds
132,1173,RT,None,1,1,Realy free come on money back now I mean free? Read tittle,Angrybirds
133,1176,RT,None,1,5,Addicting game My maw-maw loves this game,Angrybirds
134,1182,RT,None,1,5,Good game I love playing this on my iPhone,Angrybirds
135,1183,UE,None,1,5,Wow I never though this was such a great game. I mean my friends raved about but I never wanted to pay $0.99 for it. But this week it was FREE! So i got it. SOOO addicting. So great,Angrybirds
136,1183,RT,None,1,5,Wow I never though this was such a great game. I mean my friends raved about but I never wanted to pay $0.99 for it. But this week it was FREE! So i got it. SOOO addicting. So great,Angrybirds
137,1184,RT,None,1,1,Ruined app They have completely ruined what was formerly a fun game,Angrybirds
138,1192,RT,None,1,5,Oooh WOw by Raafii i like there shout ahhraketkkkaaa!!!!!! coool game! awesome as always,Angrybirds
139,1198,RT,None,1,5,Awesome Really fun.,Angrybirds
140,1202,UE,None,1,5,Need refund But if it's gonna stay free I would like a refund pppppplllllllllllllllleeeeeeeeaaaaaaaassssssssssseeeeeeeeeee?!?!?!?!?!?!????????????????????$ back $ back $ back $ back $ back,Angrybirds
141,1202,RT,None,1,5,Need refund But if it's gonna stay free I would like a refund pppppplllllllllllllllleeeeeeeeaaaaaaaassssssssssseeeeeeeeeee?!?!?!?!?!?!????????????????????$ back $ back $ back $ back $ back,Angrybirds
142,1205,RT,None,1,4,good Great game and very challenging.,Angrybirds
143,1212,UE,None,1,2,"It's not fair To get all achievements, paid for this app is not enough. And it is not fair. You should provide the way to get all achievement or just increase app price (include Unlimited use of Mighty Eagle) so true gamer should know how they should pay if they want to complete game challenger at 100%.It's made you is a liar, Rivio. Like sell a game with full chapter but the last one. Then if gamer does not paid one more time, they could only stop cause they never complete it. A big liar, Rivio. Create a great game, then made you down a bad company. Sorry if I say what I thinking",Angrybirds
144,1212,RT,None,1,2,"It's not fair To get all achievements, paid for this app is not enough. And it is not fair. You should provide the way to get all achievement or just increase app price (include Unlimited use of Mighty Eagle) so true gamer should know how they should pay if they want to complete game challenger at 100%.It's made you is a liar, Rivio. Like sell a game with full chapter but the last one. Then if gamer does not paid one more time, they could only stop cause they never complete it. A big liar, Rivio. Create a great game, then made you down a bad company. Sorry if I say what I thinking",Angrybirds
145,1232,UE,None,1,5,Yes! Full original game for free?? So cool,Angrybirds
146,1257,RT,None,1,5,Awesome game Very very very very addicting thanks for it being the app of the week it was free hip hip hoary!! :),Angrybirds
147,1266,RT,None,1,4,Lol Fun,Angrybirds
148,1279,UE,None,1,1,Great game The game is really really fun it's just that I wishes u guys wouldn't have made it so hard to get the golden eggs like getting 3 stars on two full pages now that's jut retarted so plz fix it or make it easier to get them but overrall a great game,Angrybirds
149,1279,RT,None,1,1,Great game The game is really really fun it's just that I wishes u guys wouldn't have made it so hard to get the golden eggs like getting 3 stars on two full pages now that's jut retarted so plz fix it or make it easier to get them but overrall a great game,Angrybirds
150,1283,PD,None,1,1,"Crashes before the 1st level loads When I go to the 1st level, it crashes. Ironically, they just made this game ""free""... coincidence?",Angrybirds
151,1293,UE,None,1,4,just bought now its free!? well im disappointed i bought this game and the next day its app of the week. the game is challenging... on purpose so they get u to buy the eagle? i think its what its called which clears a hard lvl for u. so its a hard lvl after hard lvl until u break down and buy the stupid 99 eagle attack. plus they advertise their own games non stop while u play. its a fun game i guess but wayyyy over hyped!,Angrybirds
152,1293,RT,None,1,4,just bought now its free!? well im disappointed i bought this game and the next day its app of the week. the game is challenging... on purpose so they get u to buy the eagle? i think its what its called which clears a hard lvl for u. so its a hard lvl after hard lvl until u break down and buy the stupid 99 eagle attack. plus they advertise their own games non stop while u play. its a fun game i guess but wayyyy over hyped!,Angrybirds
153,1294,RT,None,1,5,lol Awesome ;),Angrybirds
154,1299,UE,None,1,5,FREEEE FREE FOR ALL,Angrybirds
155,1314,UE,None,1,5,App of the week Yay it's free I was about to buy it,Angrybirds
156,1338,PD,None,1,1,"CRASH!!!!! It won't even load!!!!! It goes to the loading screen, and then turns black and crashes!!!!!????????please fix!!!!??????????????",Angrybirds
157,1339,UE,None,1,5,Amazing Game Now 4 Free!! Pop,Angrybirds
158,1339,RT,None,1,5,Amazing Game Now 4 Free!! Pop,Angrybirds
159,1371,UE,None,1,4,Eh ?? I dont like angry birds much but it was FREE :P,Angrybirds
160,1371,RT,None,1,4,Eh ?? I dont like angry birds much but it was FREE :P,Angrybirds
161,1374,RT,None,1,5,"Same old angry birds only free You seriously rating this game lower over the picture? Who cares, thanks for a great free game.",Angrybirds
162,1377,PD,None,1,1,"New levels new problem In the second section of the most recently released levels, it freezes after level is complete and will not tabulate stars or record score, preventing user from moving on to scene 3. Please fix.",Angrybirds
163,1383,PD,None,1,1,Crashes It crashes as soon as  i get to load the level,Angrybirds
164,139724,RT,None,1,5,Awesome Awesome,Angrybirds
165,1448,RT,None,1,5,Great app The best game of the AppStore.,Angrybirds
166,1451,FR,None,1,5,"Fish birds You guys should try to make more levels, where while the birds are at the beach the pigs go under water with the eggs, or maybe they would hide in a whale.",Angrybirds
167,1487,UE,None,1,5,Can drive u crazy Trying to find an effective strategy without resorting to the eagle option can make you nuts.,Angrybirds
168,1495,UE,None,1,5,Great game Works great!  Fun to play!  Lots of levels!  What more can be said?!,Angrybirds
169,1495,RT,None,1,5,Great game Works great!  Fun to play!  Lots of levels!  What more can be said?!,Angrybirds
170,1497,UE,None,1,4,"Great! But... I absolutely love angry birds but sometimes there r levels I can't beat very fast and it ends up taking forever. I don't really want to pay to buy the mighty eagle, either. I wish there was a skip level button or even just limited skip level buttons.",Angrybirds
171,1497,FR,None,1,4,"Great! But... I absolutely love angry birds but sometimes there r levels I can't beat very fast and it ends up taking forever. I don't really want to pay to buy the mighty eagle, either. I wish there was a skip level button or even just limited skip level buttons.",Angrybirds
172,20,UE,None,1,1,"Money Birds, Moneyvio It has too many ADS & IAPSo distracting, annoying.",Angrybirds
173,32,UE,None,1,5,"Plateau breaking I waited until I broke through #11 to rate this app. When I did succeed, I was nearly giddy with pride. After a few easy levels, I am again practicing my aim. The puzzles are fun and I am looking forward to another successYes, I am stuck again. It is way too much fun to quit, thus still a 5 rating!5 again, yet - I find that an explosion on TV gets me a little excited. That's new for me.I enjoy your creativity to find ever more and different puzzles for me. The times I out do myself give me pleasure and am excited to see what is next. Thanks!Still enjoy the black exploding birds - the finality they offer.My aim is improving with a better ratio of 3 star efforts. Thanks for the fun!You still preoccupy me happily! MI had to give one level to the eagle and have been playing lots of solitaire to help recover. Now I am ready to go back and give it another try. The ability to pick up and retry gives the game yet another 5 stars.Hi, my aim has improved as has my ability to figure out how to get 3 stars on most all levels. It is fun to get help from the characters with special powers when I am really stuck. However I do not get help unless Ifeel tapped out. Thanks for all the fun. Mary",Angrybirds
174,46,PD,None,1,1,"Locks up every time Used to be a good game, now since upgrade it locks up every time I try to play. Don't waste your money!",Angrybirds
175,49,UE,None,1,2,"Good time-killer besmirched by infuriating ads This game was great before it started putting prompts for reviews at every other startup and irritating popups for micro-transactions in EVERY LEVEL.  Dear Rovio; If you absolutely must continue trying to squeeze dollars from your customers this way, at least have the decency to include an opt-out for those like myself who are absolutely NOT going to spend an amount equal to what I paid for the app in the first place just to have some gimmicky and expendable in-game item.  They are making me not want to play your game or anything else published by your studio.",Angrybirds
