review,task
"I love the do-anything note capabilities text, inline photos, audio files, web-clips (which I have yet to become proficient with, but will)!

The cross-platform access to your notes on the cloud is brilliant and a HUGE time saver!

This app, combined with the inexpensive bluetooth keyboard that I bought recently have given me a power mobile information gathering and organizing capability",UE
Weather app is awesome and very easy to use!,RT
Great	LOVE LOVE Pinterest,RT
Powerful camera app	Mild learning curve but absolutely awesome.,RT
"I use Evernote every day for both work and personal note-taking glad the crash on launch was fixed so quickly! Would like to see complete parity (on formatting and some other features) between desktop and iPad versions, but it's getting really close",RT
The best Messenger app ever,RT
"Good notes app, nicely organized and clean to edit and read  Highly recommend",RT
gud	fine,RT
"I love pinning!	I love pintrest and this app lets me use it anywhere The only problem I've had is that if i turn my phone sideways, the screen gets messed up and i have to exit out of the appplease fix!",PD
Its the best.	Its really cool.,RT
Great for daily readings. I love it.,RT
Mojukg	Mouse monster Maxwell man of the sea! !!!!!!!!!!!!!!!!!!!!!!!!! 2,RT
"Notes app no longer needed with all these capabilities Between my Mac, iPhone and work with IE and desktop app, it easy to save from the web and edit notes as needed Can't do without",UE
"Although I am an avid Pinner, this app keeps knocking me out of my Pinning time, therefore making my search have to start over  Very irritating  Also slows down a ton when I open another board besides my own  Please fix these problems!  I want to Pin more!",PD
"Good ,I like it. Is accurate . And high tech",UE
;) 4	Nice,RT
The Best Travelling app,RT
"I love it, every one should have it",RT
Best app!,RT
Some help here?	My messages won't send and they continue to say pending. Some help would be nice.,FR
nice app   beautiful,RT
Fix it	What has happen to the weekly levels,RT
Whatsapp	Whatsapp,RT
This is a great app  I have found 2 great hotels in cities I was unfamiliar with  Reviews are so helpful,RT
Since update I can not open links or pictures from email. Please fix.,PD
Wont create team	The game is good but when I try to create the team all I get is a go back button.,FR
"I've been using this for just over 6 weeks and have eliminated all paper notes Even when I find myself at a meeting without a laptop or iPad, my paper notes easily get loaded in simply by snapping a photo 

Additionally, classifying a note by notebook and adding tags makes it easy to organize among a couple different dimensions for easy retrieval at a later date",UE
amazing if only some was free,RT
"I needed a good flash card system for my Mandarin vocabulary, and this is everything I could have asked for.  If never heard of Quizlet before, but by enabling the extended keyboard for pinyin, and my Simplified Chinese keyboard, I was easily able to make a custom list of words.  ? (shu?) on one side, and ""water"" on the other for instance.  Inputting them to this app was super easy!  Very well done and totally worth the $4.  Quizlet is free, by the way.",RT
"Every time I log on to my TripAdvisor account through Facebook on my iPod Touch, it crashes I am only able to sign in through my Facebook, but it won't let me in This glitch needs to be fixed",PD
"Couldn't be better really, with options to copy results and also send via text/email..  would like to see an option for viewing results full-screen, sometimes the end gets cut off.. but it still copies/pastes all of it so it's cool ;)",RT
???	I don't know how to get contacts.....,RT
We always use this app as we are always looking for great places to eat. We don't cook a lot so we look for variety in the places we try. This app never disappoints!,UE
"Awesome	More than expected, simply amazing.",RT
Epic,RT
Good	Exllent,RT
Nice	Awesome,RT
"Did not give 5 stars because have found not all campgrounds are listed.  Sure is helpful though 99.5% of time.  Have used for gas, reservations for camps, restaurant locations, low clearances.  Awesome!",UE
"I've been contributing to TripAdvisor for many years now  It is the first place I check when heading to a new area for information on hotels, restaurants and activities  The app on my iPad makes it easy for on-the-go reviews  It is easy to use and quite intuitive in how it works  No complaints",UE
"Good App	Works better than Samsung version installed S4
",RT
!!!!!	Awesome,RT
Wow	Owsum app,RT
Could be better	App freezes time to time and laggy.,FR
Whaaaataappp	Gr8 App-),RT
Adhi	Gooood,RT
Great app!!	This is the best Everything works really great!! I highly recommend this app!!,RT
Bug	The gold mystery sprout does not work. Should be a 100% chance to give me a plant that I don't have. Just getting kinds that I have already.,FR
It seems like a cool app from what I have been able to see. It crashes everytime I get it open. The free app got me hooked which never crashed. Get this fixed please and I will resubmit a review.,RT
I love using this app at Walt Disney World!  Now I don't need to carry paper maps and pamphlets to guide my family around the parks and resorts.,RT
Fun way to get back in touch with classmates in a time-capsule way!,RT
"I am a very superstitious person. I love any kind of ghost story. Short, Long, or a book. But this app has everything from short stories to long. Definitely worth the $$",RT
This has become my main notes program  Wish I could do handwriting on it  Love how can I can put outlook emails in it   Using more than my other note apps in the iPad,FR
"Video call camera	Please fix camera for video call on Galaxy Tab 2 7"", receiver see me upside down..",FR
Great app!! This made life easy to capture family moments and saving for years to come I evaluated quite few and Evernote stand top on the list,RT
I'm enjoying it so far hopefully when it's time for me to go out and do stuff ifs worth using!! ),RT
So glad I open it b4 I did (:,RT
Good app!	Useful for my needs.,RT
"Great game, this game is great to pass time",RT
Good	Good **,RT
"Was working...	Now it corrupts every docx file I save.  This has cost me hours of work.  I paid for this?  Editors Choice, really?  I cannot recommend this program in its current state.  Nexus 10, 4.4",FR
Working fine on wlan but distortion on mobile internet,FR
Great App for Travelers. Highly recommend it!,UE
????	?? ?? ?????,RT
I love having my books with my everywhere I go.,RT
It's good and easy to use.,RT
Works	Ok.,RT
Awesome	Its awesome Its fun using whats app,RT
I wanted an App that would separate my videos from my photo library.  I wanted to be able to play my photo slideshow without interruption from annoying videos.  The music stops and you have to start it over. Now the videos are on this app and I can play right through all my pictures.  Love it!,RT
Some technical issues still need resolving	Otherwise it's 1010,RT
Not bad!	For a mobile game ya can't complain.,RT
It was ok.,RT
Nice	Nice app,RT
Great tool	Does what it is supposed to do. Thanks,RT
Excellent	As promised.  A faithful interesting game with plenty of variety along the way.  Nick Bee,RT
Great	Ultimate,RT
Without this its literally impossible to play music on my Xbox! Thanks! Happy birthday  ??,UE
I have already paid	I paid for the game now they want more money for the whole experience.,RT
"This app is great for the novice traveler I just started a new position within my company that requires me to travel and I always refer to Trip Advisor for ratings on hotels and good places to get a hot meal

I STRONGLY recommend this app!",RT
Inspiring!	Collecting your favorite things is fun to do as well as trying to express your likes and interests to others,UE
I absolutely love this app. I scan whatever I see....,UE
Hard to use takes up big chunks of the screen trying to sell me crap,RT
No help function. Wtf??	No idea how it works.  Just kept blowing myself up.,RT
Enjoyed our honeymoon at the bed &amp breakfast for one night!  Had the pleasure to taste home-made rhubarb pie and bought a jar of the home-made rhubarb jam and a bottle of the orange liquor!  The host and hostess were delightful to meet and the location was charming,RT
"Best app to share thoughts, ideas and different things and feelings	Excellent way that connects to our family, friends, relatives and strangers too ))))",RT
"Music takes 15 seconds to load after you have selected a song ( doesn't matter if I'm on Verizon LTE or Wifi) also, it doesn't play the next song automatically instead you have to open the app, go back and pick the next song in the folder You can't even hit the 'next' button to skip tracks  Please fix these in the next update!

Running iOS7 Same issues on iOS 6",PD
"Like the visuals of this app a lot, like how it updates weather as to where you are :)",UE
Best	Great,RT
good aplication	kereeeeennnnnn,RT
"We really enjoy this app while traveling When you're on the road and you're ready to stop to eat, this is a great app to find a good place We have found some really good places to eat that we would not have known about Having a map to get you there also helps 

One small issue I have is that when you ask what's near you, or when you use a filter, not everything shows up  An example is that I was trying to find info on a brew pub near our motel  It didn't show up on the map and when I asked for pubs near my current location it didn't show up in the search  But, when I searched by name, there was the pub and reviews",PD
Love being able to work on my phone or laptop. My family tree is always up to date.,RT
I have no idea how to get drop box files to sync with the iPhone or iPad,RT
"As an author, I definitely nee something like this on the go. It's nice not having to wait until I get home to type the next chapter of my book, and I don't have to carry around my binder full of notebook paper. This is amazing ad extremely convenient!!",UE
"Video playback sucks	This is a wonderful app minus the videos To play one it takes you to an internet browser, then to youtube Please allow for in-app playback to bypass all the nonsense",UE
Easy to use  Not driven by advertising	Always full of things that are interesting to me without chasing me or interrupting my enjoyment with endless advertising,UE
Eh	Personally not a fan of the latest update.,RT
Who doesn't like a good deal every now & then? Usually something for everybody and easy user interface. Pretty thorough app,UE
"...	Best app ever!
",RT
"When this app worked, I'd give it 4 stars But shortly after having it I got several errors about inability to sync And then I couldn't open all my notes And now it says trouble reaching evernote server Btw the solution to that 1 (after I tried reinstalling and rebooting) is to log in using user name instead of email (or vice versa Whatever you're having a problem w try the other) But annoying this happens at all 

If it works for you, this is a pretty good app to help you keep all those notes you scribble down and email yourself in 1 place",PD
This is the best video editor ever!!! I also like extras for iMovie but the only thing was that I wished I could cut out things people said that I didn't want. Other than that I love it!!!,FR
nice	nice app,RT
No more magazine clippings One place for to do lists Would love to see the ability to set alarms and send reminders One of my favorite and most versatile apps,UE
Really good app,RT
Idk	Why does it FOREVER to download!?! I have a galaxy 3 mini and its so long :'( Like i downloaded it cuz its says download over wifi and i accepted it and it was still downloading for two !@#$ing hrs!!!!!,FR
Best App	Best chatting app ever,RT
Was a great app that I use every day before Update with reminders makes it that much better Evernote keeps me organized!,RT
Very good	Every nice,RT
Love pinterest App is okay,RT
"Best CL app I've ever used, by far.",RT
Poor !	Why it doesn't work? I've captured my face then it shown processing but nothing happens and keep returning me to the camera. Please fix it . I'm using galaxy tab 7.0 plus,FR
Cool	Cool watsapp,RT
"Love the app, use it all the time to check shipping activity in Puget Sound. Helpful whether on land or on the water.",UE
"I started to use evernote since high school, but didn't feel that useful Now i am a college student, I use evernote in every life I love the highlight section, but wish there is more color than yellow Moreover, I enjoy the website version as well It is organized and sophistic Thank you for providing this application It is so convenience",UE
"I have over 200 notes in Evernote (verified in the Mac version and on Evernotecom), but only 4 of them appeared in the new version of this app until I deleted and reinstalled it Logging out and logging back in didn't work The new UI will take some getting used to but feels cleaner and faster than before",UE
Stacey	Thanks you are awesome,RT
Okay	This game is great. Can't what for the new one,RT
This would easily be a 5 star app Best idea ever  But it loses 2 stars just because I have to download one photo at a time This is a huge inconvenience,FR
Awesome ????????,RT
Excellent	A great app,RT
Really enjoyed this reading. Much better in the car than the junk on the radio.,RT
"I was having problems with my Simple Machines forum crashing  while posting so I installed tapatalk. It freezes almost daily, but not before I finish a post. For that reason alone I keep using it. 

Unfortunately it limits my access to parts of the forum that are very useful to me. I cannot search the forum at all. I cannot see who started a thread, I cannot see auto signatures and I cannot use emoticons. Some of my browsing shortcuts are not available. Tapatalk offers nothing near the full browsing experience but it works and that's enough for now.",PD
"Using for a few days now. Easy to navigate and understand. Love it.
Hope it stays free.",RT
Pretty handy app,RT
I have sold and bought many things using Craigslist.,RT
Still old school and use a map and compass. I do like to use this app when I have gone hiking in the mountains.  So far it has done what I wanted and finding more applications with the app that I like.,RT
"I have to say that Evernote is in the top 3 ranking of my productivity apps, if not number 1 So simple to use I use it to store all sorts of data that I need to be able to recall quickly 
Great for note taking, recipes, software keys, wifi settings Endless uses",UE
"I love it :) so helpful with how I study! Paperless, and I can study from my phone ANYWHERE!",RT
^-^	Superb,RT
Its useful!,RT
"Have used in US, Ireland and Continental Europe, easy to use good information including location, numbers and web site  Reviews are personal preference but knowing a majority opinion makes selecting places and events easy",UE
VerY gOoD App	I woUld GivE it 5 star if iT wOulD have LogoUt opTion,RT
I love it	So awesome,RT
Please add support for animated GIFs!,FR
"Wow Factor	Initially I did not set my eyes on this wonderful app  however, the other day, I tried my hand at this app by chance to juggle, and the experience was amazing I am now addicted to your app Keep improving, and keep on improving Bravo",RT
Worst app in the world. Same news stories from a week ago. used to be great but some GENIUS decided to update it. FAIL!!!!!! no point in having it now. Just takes up space and memory.,RT
Black screen	I get black screen after using flash. It seem to be random. Anyone else experienced the same problem?,FR
Love	IloveIt,RT
Gave me an error first time after uploading check images. App crashed the second time while uploading check images.,PD
),RT
Good	This is a good app,RT
Awesome	Great,RT
Love it	Good ideas and you can find whatever u need for any occasion,RT
Really creative	Awesome ?,RT
"Most of the hotel reviews, especially from poor hotels, are fake and most likely posted by employees Notice how after a negative review is posted, it is invariably followed by several glowing reviews And because TripAdvisor is paid by the hotels listed on this site they will remove negative reviews if pressured by the hotel",PD
"My creative juices can flow anytime, anywhere and I've got the tool to capture it all!",RT
this one is great!,RT
whatsapp is the best app i eva had	whatsapp is the best app i eva had ad wuld lke 2 c whatsapp grow bigger,RT
Love it	Im supper hooked now looking for wedding dress and decorations for my moms wedding yaay excited ,RT
H	H,RT
Fantastica!!,RT
I love the pro version - well worth the money. I use it way more than the other cooking apps I have purchased.,RT
Deleted in less than 5 minutes,RT
"Trip Advisor is a must when traveling if you want the best The best value, hotel, tour, restaurant or just to know about an area",RT
Some places that had menus on the old version are missing them on the new one Other than that the app is extremely helpful and easy to use  Much improved navigation,FR
Pinterest	Luv this app This app is one of my favorite apps,RT
Easy to find venues Great to have to get steered to good places,UE
Better	Em having Samsung galaxy s 4 ad I am facing problem when I updated what's appplz fix it,PD
Getting better,RT
I love dis app	Awesome,RT
"love the app ?? but one more problem, please cut down the prices on iWork to 3.99 dollars and the iLife apps to 1.99",RT
Exelente	Thanks again,RT
"Evernote is an excellent and indispensable service in my life I'm happy to be a premium subscriber

The mobile app, however, seems to be getting progressively worse The latest version is clunky and buggy Not to mention that 'announcements,' which are essentially ads, now occupy the app's prime real estate If there were an extra-premium subscription that would let me hide those and focus on my work, I'd subscribe!

I love the document photo feature I use it daily In the latest app iteration, though, this feature causes a crash Arg!

I'm an Evernote evangelist, but I honestly could not recommend this mobile app

???
ORIGINAL REVIEW
Thanks for your hard work Happy to be a premium subscriber

Only suggestion add ability to copy note links",PD
"Not very impressive	I am a graduate student and I use my tablet a lot for taking notes during presentation and to read papers. I am disappointed as I can't use the software to present ppt. Also, the draw free form option is not very user friendly as it doesn't allow to draw in different colors nor to erase.",FR
Guud,RT
5*****	EXCELLENTE,RT
Margin and layout is out	Margin and layout is out when using office suite. Microsoft Power Point 2007,RT
None of my photos will load even tho they have been uploaded to Dropbox for months Ever since the update none of my photos show up in Dropbox It's just white boxes App is no use for me if it won't load my photos,PD
"Bad!!!	When i want take a picture, the picture from my camera phone is not shown, just blank.. plis fix it. My phone is samsung galaxy young s5360",FR
"I like Trip Advisor, but their app is slow and feels buggy
If you have the patience to navigate through its, um, 'quirks,' then you can get to their good info",PD
It was so useful to chat and connecting with all frnds	I really loves this wats up and i enjoy the days chatting with my frnds tks for thiz innovative idea hats off,RT
"Wow, what a disappointment! Where is all my stuff? Where are my reviews? What's up with having to retype search criteria after I hit back? Trip Advisor, where did your awesomeness go? Please start from scratch and redo the app!",RT
The reason I really like this app is that real people like me actually use the app and write the review Hard to blow smoke with so many of us using it now,UE
Great App!!!,RT
Easy to use and very accurate I always go to trip advisor to see opinions whether the are good reviews or not Thanks for the great app,UE
The best travel site for planning your stay  Good reviews by serious travelers,RT
A work in progress	Not quite all the tools I was looking for but a great addition to what I need while looking for the ultimate set! Still learning what it does.,RT
Wow	Awesome,RT
Exellent	Nice t use and its very easy,RT
Goood	Gooooooood,RT
Awesome	Thrilling,RT
It is important to have it,RT
Cute	I love it <3,RT
What the heck?	Love the program BUT since you added the 'share this pin'  option I have been receiving spam that my friends did not send  My account was hacked too How about a fix???,PD
Photoshop	Ok,RT
"This ap is great, really puts your collection at your fingertips! I really like how easy it is to manage your wine collection, buying, drinking or storage notes. Love it!",UE
"This app is great, but don't start with it unless you have plenty of time, it is addictive.",RT
Brilliant	Good,RT
Love it but it's crashing with the new update!!,RT
Version 30 auto updated today and now my photos won't upload Luckily my SkyDrive added an upload feature,PD
Nice features for a freebie!,RT
Defiantly my most used app I stay on it constantly :),RT
Get it NOW,RT
")	This app finds everything ur lookin for! Its amazing, and its just what u want to c wen all else fails on google",RT
Would be *****	Crashes or id rate 5*,RT
"Clinilab Navigator, Lab Tests Online, Medline Plus, and WebMD for more information. Thousands of commonly used abbreviation",RT
")	I love it, a lot less messy and much convenient than a real bulletin board or scrapbook",RT
It's awesome	However recently there is lapse to receive the message  Didn't receive notification until open up the app,RT
Very easy to use and very helpful	So cool,RT
"I have now travelled through the US and several European countries and don't know how I travelled without this It has taken the risk out of sight unseen hotels and restaurants and led to many memorable stories Yes, the reviews aren't always spot on, but 90% is a huge improvement Don't leave home without this",RT
I started using trip advisor when my husband got a traveling job and I occasionally would go with him  Since then we have been addicted and I've hooked my parents on it too  Great for finding local gems in restaurants and decent hotels I love seeing the trip advisor signs when I go into restaurants now  Everyone can be a critic,UE
After you edit the photos on the iPad there is no way to move them to the iPhoto app on a Mac. They don't update on the Mac. Please fix this.,PD
"Specs fail	I noticed the same on my note 2 it says tht i have dual-core...
",RT
Love it	Great app  Which there was a way to multi check pins When editing  (deleting or moving to another board) rather than having to do it one at a time,FR
Brilliant	Love this app? Samsung Galaxy S3 Mini,RT
I love the makeup options	I will rate it with 5 stars once I'm able to do the hair,RT
Good apps	Ok,RT
This App is like asking dozens of neighbors what they thought of a certain place they visited It's a must do on any trip planning,RT
Its superb	Amazing app,RT
"Functionality is as advertised, but still buggy	I use DSLR controller via wifi on a 6D. During operation varying function such as aperture control, white balance, etc would cease to react irreproducably. Timed bulb exposure (being the only advantage over Canon's own app and the reason why I bought the app) causes the app and the camera (!) to crash. Disappointing and expensive. I keep hoping for more reliable updates.",FR
5 stars.,RT
"I actually believe this app is totally awesome in helping me prepare for my boards. However, just as the muscle name is given in audio; I wish there was an option hearing all the muscles info in audio. For me, retaining info comes better in audio, activities, and constant quizzing.",RT
"I like this game a lot, play all the time cannot put down...however there is one issue, the game lags can you please fix. Thanks",PD
My husband and I always use trip advisor before vacations! So much useful information,UE
Bezt app ever.. And very convenient for local and international text,RT
NO	Fix the comments!,PD
Amazing app!!! Love it D	Fully like an online scrap board Awesome idea ),RT
This is a great app for planning a trip If wanting to go somewhere definitely use this!! It is helped me find restaurants in cities I've never been and great deals on flights and hotels Totally worth it to download,UE
Can't even uploadtransfer a file from Pages,PD
"As the title of this review states, this is probably the very best note-taking application available to the digital world Ever since I started to use it it has been wonderful! Each time I think I understand all it does I find a newer, cooler feature either on the Mac app or the iPadiPhone app I do a lot of research in grad school and this has been an amazing tool",RT
Going paperless and this is working for me so far Great stuff Recommend,RT
I loved SoundHound before the last update. Now I can't view my history. I've tried several times and after 30 minutes of waiting for it to download I just give up. Back to using Shazam. I hope this gets fixed.,PD
This app was easy to use. I'm so glad I found it!,RT
Osum	Evan,RT
Just installed update and it's unusable now because it crashes 100% of the time upon startup,PD
Love Picsart	Its my favorite app,RT
I did not give permission to upload pics The settings say its off yet it continues to upload STOP!!!,PD
Pankaj	Nice...,RT
Good	Helpfullllll,RT
I just wish you could edit your word documents other than that it's great!,FR
"This app is horrible in my experience Takes forever to load, and search and filter options either partially or entirely fail I've gone back to using the TripAdvisor website through my browser",PD
Hell yeah!	Now i can hang out with my friend,RT
Non-starred files occupied more than 600 MB and I have no way to reduce itit eats out all my ipad space,PD
"Good app when it comes to travel. However, more photos would really help in the future.",RT
Cannot open any saved files,PD
Excellent	THE BEST ONE,RT
Connectable	Awesome,RT
Very helpful in planning my day. Gives hour by hour estimated weather that is just as accurate as any other weather report. Love the graphics behind all of the information. It mostly follows the weather that is expected for the hour which adds a lot of visual interest.,RT
"This app not only looks great, but also provides excellent functionality  Flash Drives are a thing of the past!",RT
This app used to be flawless! But after recent updates I have issues uploading things I'll select a bunch of my photos to back up and the app will crash out and only upload a few and not all Major bummer!,PD
This is a great app!????,RT
cute,RT
"This app made searching very easy, and quick. Get this app",UE
?????????,RT
Love it	I love this app!! It lets me edit my pics anyway I want and share them easily!! Definitely a 5 star app!!!,RT
Wawwww	Nice,RT
zzzz	keeps closing/crashing losing all my work zzzz FIX IT!,FR
Super	Mass,RT
"Evernote is an excellent service, and this is an awesome app!",RT
"Great app but	I wish I could move pins, from one board to another, in bulk instead of one by one When I edit my boards it takes too long to move one pin at a time Other than that I love the app",PD
Superb	Excellent app to boost our creativity,RT
THIS THING IS A BEAST!	This app is like Photoshop CS5 or CS6 but for for your phone Can't believe how weak the PS app is But this thing here rocks!,RT
"///Update///

149 rounds recorded. iPhone 3GS. Battery 70-80% left after rounds. Still no side game tracking but the notes feature works somewhat for that. Finally fivesomes! Sixsomes! THE BEST APP FOR GOLF!

17 rounds under my belt with this app now and still very happy. The new in-app stats (v.1.3) blew me away!  Still waiting for side games (skins, etc.). I'm confused why so many golfers leave their phone on the entire round? I pull mine out as I'm walking up to my ball, usually while I'm 20-30 yards away, I get positive satellite lock by the time I'm standing over the ball, read my yardage and put the phone back to sleep. After putting I whip it out, score the entire foursome (takes about 15 seconds total) and then put it back to sleep. I consistently have 80-85% battery life after my round is complete.

Once we get side games/betting included in a future update I will be even more of a cheerleader for this app!   
////////////////////\\\\\\\\\\\\\\\\\\\\\
Used Golfshot for my last 6 rounds and I will continue to use it forever! It's accurate, easy to use, and being able to email your scorecard to your buddies and review actual stats for yourself are perks I didn't know I wanted, but now I can't live without!

Ended up being cheaper to buy a new iPhone 3GS AND this app than the skycaddie I was looking at. Stand alone golf GPS units are in serious trouble.",RT
I,RT
Fab	Gd,RT
Best app	Can always edit my pics and they will end up well,UE
"Good app.  Gets me to the info I want quickly, and auto adjusts times to my time zone (many apps don't)",RT
Don't change a thing,RT
"Can't get a response from Developers	The game itself isn't bad. If anything,  a bit monotonous.  However,  the manual is less than desirable,  specifically when speaking about how to feed cows. I figured out meadows on my own, but cant make straw bales for the life of me. And, this is apparently hkw to create manure flr fertilizer. I have emailed the developers, amd received no response. VERY FRUSTRATING! You spend money in the game for equipment that you can't use.",FR
Good	Outstanding,RT
Slow.Buggy	It takes more than a minute to open a file which is opened within 10 seconds in polaris office-Tab 2-3100. Needs speed improvement. Edit: It shows only a blank white screen when we try to open some .doc files!!OMG Developers! I hope you have tested the file which I have sent to you.,FR
Unclassified	Always I don't get connected even though I have enough net band width.... unable to to line call,FR
"Pretty good!	I've edited many photos using this application already. Something to probably address is the photo not always saving what you're looking at in the preview. The beautify tool is a good example of this, as it may look fine in preview, but when you save it, you don't exactly get the same quality. Sometimes it turns out a little pixalated, but overall a remarkable app! I use this in conjunction with other apps.
",UE
Use to be good until I cannot open any office documents,PD
Amazing,RT
Very uselful app,RT
"The white app icon is so atrocious, I'm hiding it away in a new folder that I'm naming 'Ugly Apps' It will be joined by Photos and iBooks Some other Apple bloat-ware apps, like Game Center, Newsstand, and Passbook could go in too, but they'll just stay in my 'Crap!' folder instead",PD
"Not bad.	For a mobile phone game this is pretty impressive.  It's nice to now be able to get my ""Pirate"" fix while on the road when I'm not able to play Black Flag at home.",RT
"Server error	In Belgium I bought on PlayStore and says need extra 160 MB to download, but always get server error 5002.  Thanks for taking my money!",FR
Excellent	Great app I have ever used,RT
The best!	I really like the features especially the stickers ?,UE
So frustrated. Not responsive or sluggish. Cannot modify the city from which I want to rent. I give up.,PD
Wow	Amazing app  So nice So creative Lastly perfect to me!!!,RT
"Search engine not complete Searched for house rentals in Healdsburg, CA Having friends there, I know that there are more than 16 b&ampbs Also no results for house rentals in the valley Love trip advisor and use it often on the computer, but this app doesn't provide you with proper search options",PD
I love this app!	I use pinterest as my virtual closet XoxO,RT
This app is a good time. Fun at parties.,RT
"Great sharing	Love to be able to search and find exactly what I want! Also makes preparing a menu easier! It's awesome to have exactly what I have pinned all organized, just for me!",RT
Why doesn't the music work	Upsetting to have a clip made but NO music... Tried it for my business and this Is actually very disappointing.,FR
I recently used this app during Hurricane Isaac. This app refreshed faster and was much more reliable than the other two with the big websites. Get it. You may need it when it counts. I did.,RT
Love!	Best photo editer out there!,UE
Sucks to the core	Doesn't deserve even a single star Why do I always have to update aaps( and I kept getting msg from server to update it But I ignored since I dint wanna update it Now I cannot update the new version  This is more than 7th time m trying to update and I just cannot It just stops in between I even dont want the new version since people are comenting saying it aint that good Why is it compulsory to update it?p anyways please help to get it downloaded? Otherwise ill take back that 1 star alsop,RT
??????? ???	???? ????? ???? ???,RT
We use this app all the time when traveling We have discovered fabulous restaurants in out of the way locations that we would otherwise have missed and have steered clear of unpleasant choices Best to use most recent reviews and look at overall score rather than relying on only one very bad or very good review,RT
